latency,throughput,length
0.00987649,1.93149,1
0.00967457,100.557,51
0.0116426,165.48,101
0.0139756,206.102,151
0.0100064,383.171,201
0.0106214,450.781,251
0.0104887,547.418,301
0.0106611,628.025,351
0.0156477,488.84,401
0.0107757,798.373,451
0.0115411,828.065,501
0.0127184,826.403,551
0.014937,767.513,601
0.0156348,794.258,651
0.0186979,715.154,701
0.0122192,1172.39,751
0.0177577,860.436,801
0.0117068,1386.65,851
0.017245,996.635,901
0.0132198,1372.24,951
0.0136348,1400.43,1001
0.0140714,1424.75,1051
0.0136376,1540.01,1101
0.0140457,1563.16,1151
0.0147073,1557.7,1201
0.0196361,1215.28,1251
0.0166318,1492.15,1301
0.0157868,1632.43,1351
0.01459,1831.71,1401
0.0206365,1341.24,1451
0.0181364,1578.71,1501
0.0156773,1887.19,1551
0.0196068,1557.61,1601
0.0188918,1667.04,1651
0.0194455,1668.62,1701
0.0156607,2132.8,1751
0.0185806,1848.96,1801
0.0182178,1938.14,1851
0.019167,1891.91,1901
0.0231088,1610.47,1951
0.019758,1931.87,2001
0.0173573,2254.01,2051
0.0165232,2425.52,2101
0.0170979,2399.78,2151
0.0198427,2115.89,2201
0.0172485,2489.41,2251
0.0174885,2509.79,2301
0.0210801,2127.42,2351
0.0168181,2723.25,2401
0.018371,2544.98,2451
0.0221096,2157.78,2501
0.0191501,2541.05,2551
0.0224643,2208.62,2601
0.019902,2540.89,2651
0.0202248,2547.5,2701
0.0190653,2752.45,2751
0.0184219,2900.37,2801
0.0183735,2959.92,2851
0.0185436,2984.19,2901
0.0190443,2955.82,2951
0.0190302,3008.12,3001
0.0194279,2995.64,3051
0.0203416,2907.97,3101
0.0189427,3173.07,3151
0.0263,2321.68,3201
0.0197569,3138.86,3251
0.0197589,3186.81,3301
0.0198554,3219.35,3351
0.0238224,2723.3,3401
0.0221233,2975.56,3451
0.0228057,2928.34,3501
0.026338,2571.83,3551
0.0205769,3338.24,3601
0.0222347,3132.24,3651
0.0207432,3403.43,3701
0.0249571,2866.99,3751
0.0224394,3231.17,3801
0.0212508,3456.78,3851
0.0210376,3537.15,3901
0.0213078,3537.05,3951
0.0202256,3773.47,4001
0.0669825,1153.65,4051
0.0632071,1237.65,4101
0.064735,1223.17,4151
0.0659245,1215.57,4201
0.0588944,1376.86,4251
0.0646999,1268.06,4301
0.0574691,1444.2,4351
0.0650965,1289.64,4401
0.0645395,1315.54,4451
0.0664345,1292.38,4501
0.0606497,1431.37,4551
0.062384,1406.87,4601
0.0581051,1526.88,4651
0.0634435,1413.44,4701
0.0684653,1323.7,4751
0.0580421,1577.84,4801
0.060349,1533.33,4851
0.0636186,1469.52,4901
0.0598698,1577.46,4951
0.0697325,1368.03,5001
0.0590546,1631.54,5051
0.0641343,1517.19,5101
0.0591305,1661.7,5151
0.0585567,1694.27,5201
0.0677758,1477.89,5251
0.0602816,1677.44,5301
0.062093,1643.86,5351
0.0598289,1722.01,5401
0.0606186,1715.32,5451
0.0621533,1688.31,5501
0.0608271,1740.8,5551
0.0605001,1765.97,5601
0.0676558,1593.29,5651
0.0625033,1739.89,5701
0.0617796,1775.71,5751
0.0635294,1741.81,5801
0.0675673,1651.84,5851
0.064286,1750.99,5901
0.0669775,1694.86,5951
0.0633245,1807.7,6001
0.0645123,1789.2,6051
0.0645634,1802.55,6101
0.0623326,1882.37,6151
0.0623703,1896.52,6201
0.067135,1776.13,6251
0.063505,1892.67,6301
0.0660555,1834.03,6351
0.0627594,1945.55,6401
0.0623784,1972.72,6451
0.0685644,1808.65,6501
0.0687666,1817.2,6551
0.0677461,1858.66,6601
0.0622683,2037.48,6651
0.0640177,1996.7,6701
0.0690887,1863.95,6751
0.0639945,2027.23,6801
0.0659942,1980.26,6851
0.0644405,2042.8,6901
0.0641054,2068.36,6951
0.0659734,2024.25,7001
0.0694156,1937.61,7051
0.065804,2058.45,7101
0.0668159,2041.55,7151
0.0640961,2143.06,7201
0.0670706,2062.24,7251
0.0669322,2080.75,7301
0.0695418,2016.39,7351
0.0667467,2115.11,7401
0.0661923,2147.24,7451
0.0675038,2119.65,7501
0.0656405,2194.35,7551
0.0658858,2200.66,7601
0.0669851,2178.78,7651
0.0715233,2053.87,7701
0.0680075,2174.08,7751
0.0694763,2141.84,7801
0.0656695,2280.52,7851
0.06747,2233.8,7901
0.067131,2259.29,7951
0.0670416,2276.53,8001
0.0686801,2236.11,8051
0.0733065,2108,8101
0.0688272,2259.04,8151
0.0683674,2288.19,8201
0.0670001,2349.12,8251
0.0691505,2289.86,8301
0.0724477,2198.81,8351
0.0713379,2246.38,8401
0.0679977,2370.76,8451
0.075678,2142.76,8501
0.0708044,2303.72,8551
0.0703204,2333.14,8601
0.0682516,2417.84,8651
0.0719994,2305.23,8701
0.0691395,2414.37,8751
0.0676076,2483.19,8801
0.0694692,2430.38,8851
0.068782,2468.52,8901
0.0723498,2359.98,8951
0.0698971,2456.43,9001
0.0749472,2303.64,9051
0.0727504,2386.31,9101
0.0729288,2393.55,9151
0.0703898,2493.44,9201
0.0698864,2525.05,9251
0.0705411,2515.13,9301
0.073015,2442.98,9351
0.0724836,2474.05,9401
0.0721847,2497.5,9451
0.0759603,2385.92,9501
0.0725666,2510.65,9551
0.0705115,2597.35,9601
0.0727814,2529.45,9651
0.0754975,2451.08,9701
0.073293,2537.82,9751
0.0747956,2499.58,9801
0.0724752,2592.77,9851
0.0751483,2513.24,9901
0.0724389,2620.4,9951
0.0724437,2633.4,10001
